,id,status,chemicalformula,job,subjob,project,timestart,timestop,totalcputime,computer,hamilton,hamversion,parentid,masterid
0,0,finished,,xp_alli,/xp_alli,LiAl/phase_diagram,2022-06-07 20:03:33.224338,2022-06-07 20:05:09.701690,96.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
1,1,finished,,xp_sol,/xp_sol,LiAl/phase_diagram,2022-06-07 20:14:11.553521,2022-06-07 20:15:13.929861,62.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
2,2,finished,,xp_lqd,/xp_lqd,LiAl/phase_diagram,2022-06-07 20:15:14.341315,2022-06-07 20:16:14.739329,60.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
3,3,finished,,x0_sol,/x0_sol,LiAl/phase_diagram,2022-06-07 20:16:38.597980,2022-06-07 20:18:08.791735,90.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
4,4,finished,,x0_lqd,/x0_lqd,LiAl/phase_diagram,2022-06-07 20:18:08.994686,2022-06-07 20:19:00.827110,51.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
5,5,finished,,x0_alli,/x0_alli,LiAl/phase_diagram,2022-06-07 20:19:36.382942,2022-06-07 20:21:48.506981,132.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
6,6,finished,,x1_sol,/x1_sol,LiAl/phase_diagram,2022-06-07 20:21:48.818420,2022-06-07 20:24:32.521663,163.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
7,7,finished,,x1_lqd,/x1_lqd,LiAl/phase_diagram,2022-06-07 20:27:40.419172,2022-06-07 20:29:34.085285,113.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
8,8,finished,,x1_alli,/x1_alli,LiAl/phase_diagram,2022-06-07 20:29:34.426536,2022-06-07 20:31:13.481059,99.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
9,9,finished,,x2_sol,/x2_sol,LiAl/phase_diagram,2022-06-07 20:31:13.798258,2022-06-07 20:32:16.652810,62.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
10,10,finished,,x2_lqd,/x2_lqd,LiAl/phase_diagram,2022-06-07 20:33:42.932346,2022-06-07 20:35:05.781497,82.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
11,11,finished,,x2_alli,/x2_alli,LiAl/phase_diagram,2022-06-07 20:35:06.071445,2022-06-07 20:36:56.844312,110.0,pyiron@jupyter-smenon#2,Calphy,0.4,,
